"breadcrumbs","product_name","description","selling_price","original_price","discount_percentage","url","data_source_url"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Chemist at Play Natural Lip Balm | Repairs Chapped Lips | Brightens Dark Lips | SPF 50 PA+++","Chemist at Play Natural Lip Balm | Repairs Chapped Lips | Brightens Dark Lips | SPF 50 PA+++","₹206","₹299","31% off","https://www.shopsy.in/chemist-play-natural-lip-balm-repairs-chapped-lips-brightens-dark-lips-spf-50-pa/p/itm71236accb2dfb?pid=XLIHJZHYBFKZRHAZ&lid=LSTXLIHJZHYBFKZRHAZWJTAIV&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","ELIBLISS Strawberry Lip Serum for Lip Shine, Glossy,Soft with Moisturizer for Men & Women","ELIBLISS Strawberry Lip Serum for Lip Shine, Glossy,Soft with Moisturizer for Men & Women","₹35","₹399","88% off","https://www.shopsy.in/elibliss-lip-serum-lip-shine-glossy-soft-moisturizer-men-women/p/itm2ba67a7aaa5b?pid=XLIHHCBMCRZK2SHYS&lid=LSTXLIHHCBMCRZK2SHYSWKY08J&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Fairlis Hydrating Beetroot Lip Balm for Dry Lips","Fairlis Hydrating Beetroot Lip Balm for Dry Lips","₹29","₹199","85% off","https://www.shopsy.in/fairlis-hydrating-beetroot-lip-balm-dry-lips/p/itm40aca1da2629b?pid=XLIHEBYFDDMZZPGH&lid=LSTXLIHEBYFDDMZZPGHAL7VHO&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Foxtale Brightening SPF30 Lip Balm with Peptides, Vitamin C & Hyaluronic Acid (Ruby)","Foxtale Brightening SPF30 Lip Balm with Peptides, Vitamin C & Hyaluronic Acid (Ruby)","₹146","₹275","46% off","https://www.shopsy.in/foxtale-brightening-spf30-lip-balm-peptides-vitamin-c-hyaluronic-acid-ruby/p/itm6011b04f002de?pid=XLIH6S57BPDR3ZWH&lid=LSTXLIH6S57BPDR3ZWH92N30Q&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","YELGO Lips trending lipstick Mix Color Lip Balm Pack of 12 (multicolor)","YELGO Lips trending lipstick Mix Color Lip Balm Pack of 12 (multicolor)","₹119","₹279","57% off","https://www.shopsy.in/yelgo-lips-trending-lipstick-mix-color-lip-balm-pack-12-multicolor/p/itm2095465216cd7?pid=XLIHRKYRYHRTXGCE&lid=LSTXLIHRKYRYHRTXGCEH6026C&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","DERMATOUCH Kojic Acid Ceramide SPF 50 PA+++ Light Rosy Lip Balm for Pigmented & Dry Lips","DERMATOUCH Kojic Acid Ceramide SPF 50 PA+++ Light Rosy Lip Balm for Pigmented & Dry Lips","₹131","₹249","47% off","https://www.shopsy.in/dermatouch-kojic-acid-ceramide-spf-50-pa-light-rosy-lip-balm-pigmented-dry-lips/p/itm614513715e744?pid=XLIHHGQVPNA4PHHEH&lid=LSTXLIHHGQVPNA4PHHEHIKPQLV&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Chemist at Play Cherry Lip Balm | Repairs Chapped Lips | Brightens Dark Lips | 1% Kojic Acid","Chemist at Play Cherry Lip Balm | Repairs Chapped Lips | Brightens Dark Lips | 1% Kojic Acid","₹206","₹299","31% off","https://www.shopsy.in/chemist-play-cherry-lip-balm-repairs-chapped-lips-brightens-dark-lips-1-kojic-acid/p/itm92341365540b3?pid=XLIHJWEZVMUTAHY&lid=LSTXLIHJWEZVMUTAHYV8QIK4&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Renew Roots Natural Beetroot Lip Balm | Pink Tint | Heals Dry & Chapped Lips","Renew Roots Natural Beetroot Lip Balm | Pink Tint | Heals Dry & Chapped Lips","₹178","₹599","70% off","https://www.shopsy.in/renew-roots-natural-beetroot-lip-balm-pink-tint-heals-dry-chapped-lips/p/itm267c95c061205?pid=XLIHJQHPFVBJZMZA&lid=LSTXLIHJQHPFVBJZMZAR047T9&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","COSMOFINE Lip Serum Roll On for Moisturizing Dry Lips & Provides Hydration","COSMOFINE Lip Serum Roll On for Moisturizing Dry Lips & Provides Hydration","₹128","₹720","82% off","https://www.shopsy.in/cosmofine-lip-serum-roll-moisturizing-dry-lips-provides-hydration/p/itm6253921834036?pid=XLIHCJRFXQDRZPWE&lid=LSTXLIHCJRFXQDRZPWEFGL9Y3&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Foxtale Glazed Lips Brightening Lip Balm - Clear Glaze","Foxtale Glazed Lips Brightening Lip Balm - Clear Glaze","₹149","₹275","45% off","https://www.shopsy.in/foxtale-glazed-lips-brightening-lip-balm-clear-glaze/p/itm908b88bd59a27?pid=XLIH6S563DY2PUKR&lid=LSTXLIH6S563DY2PUKRF8P7B7&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","ELIBLISS Lip Serum for Soft Nourished and Smooth Lips with Natural Herbs and Oils","ELIBLISS Lip Serum for Soft Nourished and Smooth Lips with Natural Herbs and Oils","₹107","₹299","64% off","https://www.shopsy.in/elibliss-lip-serum-soft-nourished-smooth-lips-natural-herbs-oils/p/itm2b2a67a7aaa5b?pid=XLIHYG4SK4Q7MGY7&lid=LSTXLIHYG4SK4Q7MGY7DOYQGL&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","NatureFill Aloe Vera Lip Balm | Natural Lip Care for Dry & Chapped Lips","NatureFill Aloe Vera Lip Balm | Natural Lip Care for Dry & Chapped Lips","₹144","₹299","51% off","https://www.shopsy.in/naturefill-aloe-vera-lip-balm-natural-lip-care-dry-chapped-lips/p/itm71698af6b0c6f?pid=XLIHN8CXQWHNG9GH&lid=LSTXLIHN8CXQWHNG9GHWV51P8&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","ELIBLISS Strawberry Lip Serum for Soft, Moisturised Lips with Glossy & Shine Effect","ELIBLISS Strawberry Lip Serum for Soft, Moisturised Lips with Glossy & Shine Effect","₹38","₹383.","84% off","https://www.shopsy.in/elibliss-strawberry-lip-serum-soft-moisturised-lips-glossy-shine-effect/p/itm45a9c063d87ae?pid=XLIHK7EGQJRK784&lid=LSTXLIHK7EGQJRK784OKDMDH&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","AP-OVENEL HEART SHAPE PINK COLOR LIP BALM MULTI FLAVOR","AP-OVENEL HEART SHAPE PINK COLOR LIP BALM MULTI FLAVOR","₹113","₹599","81% off","https://www.shopsy.in/ap-ovenel-heart-shape-pink-color-lip-balm-multi-flavor/p/itm92c1a65b33786?pid=XLIHHCBMXHGEYHV&lid=LSTXLIHHCBMXHGEYHV7W6H1V&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","crazygirl CRAZY GIRL Crystal Jelly Lip Oil – Hydrating Lip Oil & Castor Oil for Dry Lips","crazygirl CRAZY GIRL Crystal Jelly Lip Oil – Hydrating Lip Oil & Castor Oil for Dry Lips","₹135","₹499","72% off","https://www.shopsy.in/crazygirl-crazy-girl-crystal-jelly-lip-oil-hydrating-lip-oil-castor-oil-dry-lips/p/itm87275d0736f76?pid=XLIHMTMPCZCZ8ED6&lid=LSTXLIHMTMPCZCZ8ED6TIFXYI&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Dot & Key Barrier Repair Hydrating Lip Balm SPF 50 | Cherry Crimson |Soft Tinted Chapstick","Dot & Key Barrier Repair Hydrating Lip Balm SPF 50 | Cherry Crimson |Soft Tinted Chapstick","₹201","₹249","19% off","https://www.shopsy.in/dot-key-barrier-repair-hydrating-lip-balm-spf-50-cherry-crimson-soft-tinted-chapstick/p/itm56185d55321d2?pid=XLIHK686XGWBQBVC&lid=LSTXLIHK686XGWBQBVCGBE43U&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","crazygirl DG-CJLO-GRP-01 (Grape)","crazygirl DG-CJLO-GRP-01 (Grape)","₹223","₹999","77% off","https://www.shopsy.in/crazygirl-dg-cjlo-grp-01-grape/p/itm731c990e75440?pid=XLIHNHBH69E5MXSS&lid=LSTXLIHNHBH69E5MXSS914Q8T&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","CRAZY GIRL Avocado | Hydrating Glossy Lip Tint | Moisturizing Non-Sticky Lip Oil","CRAZY GIRL Avocado | Hydrating Glossy Lip Tint | Moisturizing Non-Sticky Lip Oil","₹99","₹599","83% off","https://www.shopsy.in/crazy-girl-avocado-hydrating-glossy-lip-tint-moisturizing-non-sticky-oil-avocado-strawbarry-grape/p/itm6ecc752a63f48?pid=XLIHN984XKMWTWVS&lid=LSTXLIHN984XKMWTWVSJCH8EE&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","FACES CANADA Color Lip Balm | Pink Tint | 12HR Moisture | SPF 15","FACES CANADA Color Lip Balm | Pink Tint | 12HR Moisture | SPF 15","₹145","₹175","17% off","https://www.shopsy.in/faces-canada-color-lip-balm-pink-tint-12hr-moisture-spf-15/p/itm124b57d289907?pid=IMAHCDYCZD4YHUXN&lid=LSTIMAHCDYCZD4YHUXNMZ3W7V&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","WishCare Tinted Ceramide Lip Balm with SPF50 PA+++ - Kojic Acid & Niacinamide","WishCare Tinted Ceramide Lip Balm with SPF50 PA+++ - Kojic Acid & Niacinamide","₹249","₹299","16% off","https://www.shopsy.in/wishcare-tinted-ceramide-lip-balm-spf50-pa-kojic-acid-niacinamide/p/itm4c10417a22071?pid=IMAGWWJ4YJZ8XHGA&lid=LSTIMAGWWJ4YJZ8XHGADK48L9&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Noor Care India strawberrylipbalm-Pk1Pack of 1","Noor Care India strawberrylipbalm-Pk1Pack of 1","₹81","₹199","59% off","https://www.shopsy.in/noor-care-india-strawberrylipbalm-pk1pack-1/p/itm3288485e153cd?pid=IMAHHWAGFQKZKAYQ&lid=LSTIMAHHWAGFQKZKAYQAK5H3Z&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Proskire 100% Organic Lip Balm | Dark & Dry to Pink & Buttery Lips | For Men & Women | Peach Extract","Proskire 100% Organic Lip Balm | Dark & Dry to Pink & Buttery Lips | For Men & Women | Peach Extract","₹197","₹299","34% off","https://www.shopsy.in/proskire-100-organic-lip-balm-dark-dry-pink-buttery-lips-men-women-peach-extract/p/itmb9761248a2c26?pid=XLIHHVBM4GS3FQ2E&lid=LSTXLIHHVBM4GS3FQ2EPQDE4P&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","KAIASHA 4 NEW BEST MINI CARTOON LIP BALM LONG LASTING USE FOR GIRLS AND CHILDREN","KAIASHA 4 NEW BEST MINI CARTOON LIP BALM LONG LASTING USE FOR GIRLS AND CHILDREN","₹150","₹499","69% off","https://www.shopsy.in/kaia-sha-4-new-best-mini-cartoon-lip-balm-long-lasting-use-girls-children/p/itm1cf0909e291e2?pid=XLIHHCBKUGREPT3M&lid=LSTXLIHHCBKUGREPT3MQ72RGN&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Fairlis Natural Finish Beetroot Lip Balm | Smooth Hydration","Fairlis Natural Finish Beetroot Lip Balm | Smooth Hydration","₹34","₹299","88% off","https://www.shopsy.in/fairlis-natural-finish-beetroot-lip-balm-smooth-hydration/p/itm029857615c1a9?pid=IMAHGGMBYGUGED3Y&lid=LSTIMAHGGMBYGUGED3YIZ110C&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Roseleen Strawberry Lip Balm – SPF 50+, Shea Butter & Vitamin E for Moisturizing Lips","Roseleen Strawberry Lip Balm – SPF 50+, Shea Butter & Vitamin E for Moisturizing Lips","₹178","₹499","64% off","https://www.shopsy.in/roseleen-strawberry-lip-balm-spf-50-shea-butter-vitamin-e-moisturizing-lips/p/itm9959018487e3?pid=XLIHJKFYH4K9YQYY&lid=LSTXLIHJKFYH4K9YQYYE98K61&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Fairlis Beetroot-Based Lip Mask Balm","Fairlis Beetroot-Based Lip Mask Balm","₹34","₹199","82% off","https://www.shopsy.in/fairlis-beetroot-based-lip-mask-balm/p/itm24722374b5ee2?pid=XLIHKUWVYBGZA9RQ&lid=LSTXLIHKUWVYBGZA9RQGRLX9X&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Roseleen Strawberry Lip Balm – SPF 50+, Coconut Oil & Vitamin E for Moisturized Lips","Roseleen Strawberry Lip Balm – SPF 50+, Coconut Oil & Vitamin E for Moisturized Lips","₹178","₹499","64% off","https://www.shopsy.in/roseleen-strawberry-lip-balm-spf-50-coconut-oil-vitamin-e-moisturized-lips/p/itmd0d617c0425cb?pid=XLIHJHFFHTF8HWJJ&lid=LSTXLIHJHFFHTF8HWJJPYZJTI&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Proskire Tinted Lip balm with SPF 50 | Lip Brightening Balm For Pigmented,Dark & Dry Lips","Proskire Tinted Lip balm with SPF 50 | Lip Brightening Balm For Pigmented,Dark & Dry Lips","₹197","₹299","34% off","https://www.shopsy.in/proskire-tinted-lip-balm-spf-50-lip-brightening-balm-pigmented-dark-dry-lips/p/itm918735376a60d?pid=XLIHKYSZWJ7THEHN&lid=LSTXLIHKYSZWJ7THEHN61B03T&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","JaivikEarth ™ Ayurvedic lip balm for smoking dark lips to pink lips men women","JaivikEarth ™ Ayurvedic lip balm for smoking dark lips to pink lips men women","₹94","₹499","81% off","https://www.shopsy.in/jaivikearth-ayurvedic-lip-balm-smoking-dark-lips-pink-lips-men-women/p/itm90b676604f02a?pid=XLIHMY9EPMEMU4DM&lid=LSTXLIHMY9EPMEMU4DMH62I3J&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
"Home, Beauty and Grooming, Makeup, Lips, Lip Balm","Deyga Beetroot Lip Balm Stick | Tinted Lip Care | For Dry & Chapped Lips","Deyga Beetroot Lip Balm Stick | Tinted Lip Care | For Dry & Chapped Lips","₹299","₹450","33% off","https://www.shopsy.in/deyga-beetroot-lip-balm-stick-tinted-lip-care-dry-chapped-lips/p/itm2b13654d3b98b?pid=XLIHBC9ZB8QXJNYC&lid=LSTXLIHBC9ZB8QXJNYCAV732Y&marketplace=FLIPKART","https://www.shopsy.in/lip-balm-online/pr?page=1"
